[det(dog-2, A-1), nsubj(toy-6, dog-2), cop(toy-6, is-3), case(toy-6, with-4), det(toy-6, a-5), root(ROOT-0, toy-6), punct(toy-6, .-7)] 	[det(dog-2, A-1), nsubj(has-3, dog-2), root(ROOT-0, has-3), det(toy-5, a-4), dobj(has-3, toy-5), punct(has-3, .-6)] 	1
[det(reflection-2, The-1), nsubjpass(seen-9, reflection-2), case(woman-6, of-3), det(woman-6, the-4), amod(woman-6, old-5), nmod:of(reflection-2, woman-6), aux(seen-9, can-7), auxpass(seen-9, be-8), root(ROOT-0, seen-9), case(puddle-12, in-10), det(puddle-12, a-11), nmod:in(seen-9, puddle-12), punct(seen-9, .-13)] 	[det(woman-2, A-1), nsubj(standing-4, woman-2), aux(standing-4, is-3), root(ROOT-0, standing-4), case(crowd-7, in-5), det(crowd-7, a-6), nmod:in(standing-4, crowd-7), cc(standing-4, but-8), neg(one-10, no-9), nsubj(see-12, one-10), aux(see-12, can-11), conj:but(standing-4, see-12), dobj(see-12, her-13), mark(ghost-18, because-14), nsubj(ghost-18, she-15), cop(ghost-18, is-16), det(ghost-18, a-17), advcl(see-12, ghost-18), punct(standing-4, .-19)] 	53
[nummod(men-2, Three-1), root(ROOT-0, men-2), acl(men-2, talking-3), advmod(talking-3, seriously-4), case(Walmart-6, at-5), nmod:at(talking-3, Walmart-6), punct(men-2, .-7)] 	[nummod(women-2, Three-1), nsubj(staying-3, women-2), root(ROOT-0, staying-3), case(night-5, at-4), nmod:at(staying-3, night-5), punct(staying-3, .-6)] 	54
[det(amateur-2, An-1), nsubj(catching-4, amateur-2), aux(catching-4, is-3), root(ROOT-0, catching-4), det(ball-6, a-5), dobj(catching-4, ball-6), case(foul-8, in-7), nmod:in(catching-4, foul-8)] 	[det(man-2, A-1), nsubj(stands-3, man-2), root(ROOT-0, stands-3), dobj(stands-3, parallel-4), case(air-7, in-5), det(air-7, the-6), nmod:in(parallel-4, air-7), punct(stands-3, ,-8), advcl(stands-3, trying-9), mark(kick-11, to-10), xcomp(trying-9, kick-11), det(ball-14, the-12), compound(ball-14, soccer-13), dobj(kick-11, ball-14), case(goalkeeper-17, past-15), det(goalkeeper-17, the-16), nmod:past(kick-11, goalkeeper-17), punct(stands-3, .-18)] 	55
[expl(is-2, There-1), root(ROOT-0, is-2), det(ball-4, a-3), nsubj(is-2, ball-4), case(field-7, near-5), det(field-7, the-6), nmod:near(ball-4, field-7), acl(field-7, doing-8), advmod(run-12, where-9), det(players-11, the-10), nsubj(run-12, players-11), advcl(doing-8, run-12)] 	[det(boys-2, The-1), nsubj(are-3, boys-2), root(ROOT-0, are-3), advmod(field-7, out-4), case(field-7, in-5), det(field-7, a-6), nmod:in(are-3, field-7), punct(are-3, .-8)] 	56
[det(woman-2, The-1), nsubj(selling-4, woman-2), aux(selling-4, is-3), root(ROOT-0, selling-4), dobj(selling-4, dolls-5), nsubj(look-7, that-6), acl:relcl(dolls-5, look-7), case(barbies-9, like-8), nmod:like(look-7, barbies-9), punct(selling-4, .-10)] 	[det(baby-3, The-1), amod(baby-3, cute-2), nsubj(playing-5, baby-3), aux(playing-5, is-4), root(ROOT-0, playing-5), case(toy-8, with-6), det(toy-8, a-7), nmod:with(playing-5, toy-8), punct(playing-5, .-9)] 	57
[det(woman-2, A-1), nsubj(calling-4, woman-2), aux(calling-4, is-3), root(ROOT-0, calling-4), nmod:poss(friend-6, her-5), dobj(calling-4, friend-6), punct(calling-4, .-7)] 	[det(man-2, A-1), nsubj(calling-4, man-2), aux(calling-4, is-3), root(ROOT-0, calling-4), nmod:poss(girlfriend-6, his-5), dobj(calling-4, girlfriend-6), punct(calling-4, .-7)] 	58
[det(teacher-3, An-1), compound(teacher-3, art-2), root(ROOT-0, teacher-3), acl(teacher-3, helping-4), det(student-6, a-5), dobj(helping-4, student-6), punct(teacher-3, .-7)] 	[det(teacher-2, A-1), nsubj(helps-3, teacher-2), root(ROOT-0, helps-3), det(student-5, a-4), dobj(helps-3, student-5), case(class-9, in-6), det(class-9, the-7), compound(class-9, carpentry-8), nmod:in(helps-3, class-9), punct(helps-3, .-10)] 	59
[det(man-2, A-1), nsubj(getting-4, man-2), aux(getting-4, is-3), root(ROOT-0, getting-4), xcomp(getting-4, ready-5), mark(run-7, to-6), xcomp(ready-5, run-7), det(marathon-9, a-8), dobj(run-7, marathon-9), punct(getting-4, .-10)] 	[det(man-2, A-1), root(ROOT-0, man-2), acl(man-2, running-3), case(marathon-6, for-4), det(marathon-6, a-5), nmod:for(running-3, marathon-6), punct(man-2, .-7)] 	60
[det(stranger-2, A-1), nsubj(sleeping-4, stranger-2), aux(sleeping-4, is-3), root(ROOT-0, sleeping-4), case(gallery-8, in-5), det(gallery-8, an-6), compound(gallery-8, art-7), nmod:in(sleeping-4, gallery-8), punct(sleeping-4, .-9)] 	[det(woman-2, A-1), nsubj(museum-7, woman-2), cop(museum-7, is-3), case(museum-7, inside-4), det(museum-7, an-5), compound(museum-7, art-6), root(ROOT-0, museum-7), punct(museum-7, .-8)] 	61
[nsubj(having-2, People-1), root(ROOT-0, having-2), det(barbecue-4, a-3), dobj(having-2, barbecue-4)] 	[nsubj(home-4, People-1), cop(home-4, are-2), case(home-4, at-3), root(ROOT-0, home-4), acl(home-4, having-5), dobj(having-5, dinner-6), punct(home-4, .-7)] 	62
[det(boy-2, A-1), nsubj(opening-4, boy-2), aux(opening-4, is-3), root(ROOT-0, opening-4), det(box-6, the-5), dobj(opening-4, box-6), acl(box-6, containing-7), nmod:poss(puppy-10, his-8), amod(puppy-10, new-9), dobj(containing-7, puppy-10), punct(opening-4, .-11)] 	[det(man-2, A-1), nsubj(doing-4, man-2), aux(doing-4, is-3), root(ROOT-0, doing-4), det(trick-6, a-5), dobj(doing-4, trick-6), case(board-9, on-7), det(board-9, a-8), nmod:on(doing-4, board-9), punct(doing-4, .-10)] 	63
[nsubj(running-3, Everyone-1), aux(running-3, was-2), root(ROOT-0, running-3)] 	[nsubj(goes-2, He-1), root(ROOT-0, goes-2), advmod(goes-2, fast-3), punct(goes-2, .-4)] 	64
[det(orchestra-2, An-1), nsubj(tuning-4, orchestra-2), cop(tuning-4, is-3), root(ROOT-0, tuning-4), case(rehearsal-8, for-5), det(rehearsal-8, a-6), amod(rehearsal-8, private-7), nmod:for(tuning-4, rehearsal-8), punct(tuning-4, .-9)] 	[det(orchestra-3, A-1), amod(orchestra-3, small-2), root(ROOT-0, orchestra-3), acl(orchestra-3, playing-4), case(audience-7, for-5), det(audience-7, an-6), nmod:for(playing-4, audience-7), punct(orchestra-3, .-8)] 	65
[det(dog-2, A-1), nsubj(plays-3, dog-2), root(ROOT-0, plays-3), case(field-6, in-4), det(field-6, a-5), nmod:in(plays-3, field-6), punct(plays-3, .-7)] 	[det(dog-2, A-1), root(ROOT-0, dog-2), acl(dog-2, playing-3), case(field-6, in-4), det(field-6, a-5), nmod:in(playing-3, field-6), punct(dog-2, .-7)] 	66
[det(boy-2, A-1), nsubj(reassures-3, boy-2), root(ROOT-0, reassures-3), det(dog-6, a-4), amod(dog-6, big-5), dobj(reassures-3, dog-6), punct(reassures-3, .-7)] 	[det(child-2, A-1), nsubj(throws-3, child-2), root(ROOT-0, throws-3), dobj(throws-3, something-4), case(dog-8, for-5), det(dog-8, a-6), amod(dog-8, white-7), nmod:for(throws-3, dog-8), mark(catch-10, to-9), acl(dog-8, catch-10), punct(throws-3, .-11)] 	67
[nummod(men-2, Two-1), nsubj(play-3, men-2), root(ROOT-0, play-3), dobj(play-3, cricket-4), advmod(play-3, outside-5), punct(play-3, .-6)] 	[nummod(men-2, Two-1), nsubj(play-3, men-2), root(ROOT-0, play-3), dobj(play-3, cricket-4), punct(play-3, .-5)] 	68
[det(man-2, A-1), nsubj(machinery-5, man-2), cop(machinery-5, is-3), amod(machinery-5, operating-4), root(ROOT-0, machinery-5), punct(machinery-5, .-6)] 	[det(man-2, The-1), nsubj(machinery-5, man-2), cop(machinery-5, is-3), amod(machinery-5, operating-4), root(ROOT-0, machinery-5), punct(machinery-5, .-6)] 	69
[det(man-2, The-1), nsubj(walking-4, man-2), aux(walking-4, is-3), root(ROOT-0, walking-4), case(bicycle-7, with-5), nmod:poss(bicycle-7, his-6), nmod:with(walking-4, bicycle-7), punct(walking-4, .-8)] 	[det(man-2, The-1), nsubj(walking-4, man-2), aux(walking-4, is-3), root(ROOT-0, walking-4), nmod:poss(bike-6, his-5), dobj(walking-4, bike-6), punct(walking-4, .-7)] 	70
[nummod(players-3, 3-1), compound(players-3, basketball-2), nsubj(trying-5, players-3), aux(trying-5, are-4), root(ROOT-0, trying-5), mark(win-7, to-6), xcomp(trying-5, win-7), det(game-9, a-8), dobj(win-7, game-9)] 	[nummod(teams-2, Two-1), nsubj(start-8, teams-2), case(players-5, of-3), compound(players-5, soccer-4), nmod:of(teams-2, players-5), aux(start-8, do-6), neg(start-8, not-7), root(ROOT-0, start-8), det(game-10, a-9), dobj(start-8, game-10)] 	71
[nummod(men-2, Two-1), nsubj(having-4, men-2), aux(having-4, are-3), root(ROOT-0, having-4), det(day-6, a-5), dobj(having-4, day-6), advmod(having-4, off-7), punct(having-4, .-8)] 	[nummod(men-2, Four-1), nsubj(having-4, men-2), aux(having-4, are-3), root(ROOT-0, having-4), det(conversation-6, a-5), dobj(having-4, conversation-6), punct(having-4, .-7)] 	72
[root(ROOT-0, Imagine-1), xcomp(Imagine-1, looking-2), case(cyclist-6, at-3), det(cyclist-6, a-4), compound(cyclist-6, marathon-5), nmod:at(looking-2, cyclist-6), case(bike-9, on-7), nmod:poss(bike-9, his-8), nmod:on(cyclist-6, bike-9), punct(looking-2, ,-10), case(hall-13, down-11), det(hall-13, a-12), nmod:down(looking-2, hall-13), case(people-15, of-14), nmod:of(hall-13, people-15), punct(Imagine-1, .-16)] 	[det(man-2, A-1), nsubj(trying-4, man-2), aux(trying-4, is-3), root(ROOT-0, trying-4), mark(ride-6, to-5), xcomp(trying-4, ride-6), nummod(bikes-8, four-7), dobj(ride-6, bikes-8), case(time-12, at-9), det(time-12, the-10), amod(time-12, same-11), nmod:at(ride-6, time-12), punct(trying-4, .-13)] 	73
[nsubj(nice-4, Summer-1), advmod(nice-4, really-2), cop(nice-4, is-3), root(ROOT-0, nice-4), punct(nice-4, .-5)] 	[det(couple-2, A-1), nsubj(enjoying-4, couple-2), aux(enjoying-4, is-3), root(ROOT-0, enjoying-4), det(day-7, the-5), amod(day-7, good-6), dobj(enjoying-4, day-7), punct(enjoying-4, .-8)] 	74
[nsubj(drop-2, People-1), root(ROOT-0, drop-2), nmod:poss(flags-4, their-3), dobj(drop-2, flags-4), punct(drop-2, .-5)] 	[nsubj(flag-5, People-1), cop(flag-5, are-2), case(flag-5, near-3), det(flag-5, the-4), root(ROOT-0, flag-5), punct(flag-5, .-6)] 	75
[det(crowd-2, A-1), nsubj(prepares-3, crowd-2), root(ROOT-0, prepares-3), case(event-6, for-4), det(event-6, an-5), nmod:for(prepares-3, event-6), punct(prepares-3, .-7)] 	[det(crowd-2, A-1), nsubj(waiting-4, crowd-2), aux(waiting-4, is-3), root(ROOT-0, waiting-4), case(event-7, for-5), det(event-7, an-6), nmod:for(waiting-4, event-7), mark(begin-9, to-8), acl(event-7, begin-9), punct(waiting-4, .-10)] 	76
[det(man-2, The-1), nsubj(bought-3, man-2), root(ROOT-0, bought-3), advmod(bought-3, alone-4)] 	[det(man-2, The-1), nsubj(read-3, man-2), root(ROOT-0, read-3), advmod(outside-5, only-4), advmod(read-3, outside-5)] 	77
[det(dog-3, A-1), amod(dog-3, small-2), nsubj(wearing-5, dog-3), aux(wearing-5, is-4), root(ROOT-0, wearing-5), det(ribbon-7, a-6), dobj(wearing-5, ribbon-7), case(street-10, on-8), det(street-10, the-9), nmod:on(ribbon-7, street-10), punct(wearing-5, .-11)] 	[det(dog-3, A-1), amod(dog-3, small-2), nsubj(jumping-4, dog-3), root(ROOT-0, jumping-4), case(street-7, on-5), det(street-7, the-6), nmod:on(jumping-4, street-7), punct(jumping-4, .-8)] 	78
[nsubjpass(gathered-3, Entrepreneurs-1), auxpass(gathered-3, are-2), root(ROOT-0, gathered-3), mark(discuss-5, to-4), xcomp(gathered-3, discuss-5), nmod:poss(initiatives-8, their-6), amod(initiatives-8, latest-7), dobj(discuss-5, initiatives-8), punct(gathered-3, .-9)] 	[nummod(men-2, Two-1), nsubj(discussing-4, men-2), aux(discussing-4, are-3), root(ROOT-0, discussing-4), nmod:poss(meeting-7, their-5), compound(meeting-7, business-6), dobj(discussing-4, meeting-7), punct(discussing-4, .-8)] 	79
[det(group-2, A-1), nsubj(talk-5, group-2), case(people-4, of-3), nmod:of(group-2, people-4), root(ROOT-0, talk-5), mark(huddle-8, while-6), nsubj(huddle-8, they-7), advcl(talk-5, huddle-8), case(street-11, in-9), det(street-11, the-10), nmod:in(huddle-8, street-11)] 	[root(ROOT-0, Group-1), case(people-3, of-2), nmod:of(Group-1, people-3), acl(people-3, gathered-4), case(meeting-8, as-5), case(meeting-8, in-6), det(meeting-8, a-7), nmod:in(gathered-4, meeting-8), case(food-10, with-9), nmod:with(meeting-8, food-10), case(them-14, in-11), mwe(in-11, front-12), mwe(in-11, of-13), nmod:in_front_of(food-10, them-14), punct(Group-1, .-15)] 	80
[det(shares-3, A-1), compound(shares-3, woman-2), root(ROOT-0, shares-3), nmod:poss(umbrella-5, her-4), dep(shares-3, umbrella-5), punct(shares-3, .-6)] 	[det(man-2, A-1), root(ROOT-0, man-2), cc(man-2, and-3), det(woman-5, a-4), conj:and(man-2, woman-5), acl(woman-5, holding-6), dobj(holding-6, hands-7), punct(man-2, .-8)] 	81
[det(person-2, A-1), nsubj(climbing-4, person-2), aux(climbing-4, is-3), root(ROOT-0, climbing-4), det(pole-6, a-5), dobj(climbing-4, pole-6), mark(secure-8, to-7), advcl(climbing-4, secure-8), det(flag-10, the-9), dobj(secure-8, flag-10), mark(look-13, as-11), nsubj(look-13, people-12), advcl(secure-8, look-13), punct(climbing-4, .-14)] 	[det(person-2, A-1), root(ROOT-0, person-2), acl(person-2, coming-3), advmod(coming-3, down-4), case(mountain-7, from-5), det(mountain-7, the-6), nmod:from(down-4, mountain-7), punct(person-2, .-8)] 	82
[det(man-2, A-1), nsubj(adversaries-4, man-2), compound(adversaries-4, dodging-3), root(ROOT-0, adversaries-4), case(basketball-7, with-5), det(basketball-7, a-6), nmod:with(adversaries-4, basketball-7), mark(watches-11, while-8), det(man-10, another-9), nsubj(watches-11, man-10), advcl(adversaries-4, watches-11)] 	[det(man-4, A-1), amod(man-4, middle-2), amod(man-4, aged-3), root(ROOT-0, man-4), amod(man-4, is-5), mark(hit-8, about-6), mark(hit-8, to-7), advcl(is-5, hit-8), det(ball-11, a-9), compound(ball-11, tennis-10), dobj(hit-8, ball-11), case(racket-14, with-12), nmod:poss(racket-14, his-13), nmod:with(hit-8, racket-14), punct(man-4, .-15)] 	83
[det(woman-2, A-1), root(ROOT-0, woman-2), acl(woman-2, harvesting-3), nmod:poss(crops-5, her-4), dobj(harvesting-3, crops-5), case(area-9, in-6), det(area-9, a-7), amod(area-9, swampy-8), nmod:in(harvesting-3, area-9), punct(woman-2, .-10)] 	[det(woman-2, A-1), root(ROOT-0, woman-2), acl(woman-2, using-3), det(hoe-5, a-4), dobj(using-3, hoe-5), case(crops-8, near-6), nmod:poss(crops-8, her-7), nmod:near(hoe-5, crops-8), case(farm-11, on-9), det(farm-11, a-10), nmod:on(crops-8, farm-11)] 	84
[det(man-3, A-1), amod(man-3, sad-2), root(ROOT-0, man-3), acl(man-3, putting-4), amod(material-6, black-5), dobj(putting-4, material-6), case(street-9, on-7), det(street-9, the-8), nmod:on(putting-4, street-9), punct(man-3, .-10)] 	[det(man-2, A-1), root(ROOT-0, man-2), acl(man-2, placing-3), amod(material-5, black-4), dobj(placing-3, material-5), case(street-8, on-6), det(street-8, the-7), nmod:on(placing-3, street-8), punct(man-2, .-9)] 	85
[det(series-2, A-1), root(ROOT-0, series-2), case(people-4, of-3), nmod:of(series-2, people-4), acl(people-4, standing-5), case(statue-8, near-6), det(statue-8, a-7), nmod:near(standing-5, statue-8), case(bull-11, of-9), det(bull-11, a-10), nmod:of(statue-8, bull-11), punct(series-2, .-12)] 	[det(statue-3, A-1), amod(statue-3, golden-2), root(ROOT-0, statue-3), case(man-6, of-4), det(man-6, a-5), nmod:of(statue-3, man-6), mark(walk-9, as-7), nsubj(walk-9, people-8), advcl(statue-3, walk-9), case(bar-15, in-10), mwe(in-10, front-11), mwe(in-10, of-12), det(bar-15, a-13), compound(bar-15, restaurant-14), nmod:in_front_of(walk-9, bar-15), punct(statue-3, .-16)] 	86
[det(man-2, A-1), root(ROOT-0, man-2), cc(man-2, and-3), nmod:poss(dog-5, his-4), conj:and(man-2, dog-5), case(mountain-10, on-6), mwe(on-6, top-7), mwe(on-6, of-8), det(mountain-10, a-9), nmod:on_top_of(dog-5, mountain-10), punct(man-2, .-11)] 	[det(man-2, A-1), root(ROOT-0, man-2), case(horse-5, on-3), det(horse-5, a-4), nmod:on(man-2, horse-5), punct(man-2, .-6)] 	87
[det(girl-3, A-1), amod(girl-3, little-2), root(ROOT-0, girl-3), acl(girl-3, wearing-4), det(dress-6, a-5), dobj(wearing-4, dress-6), case(wedding-9, at-7), det(wedding-9, a-8), nmod:at(wearing-4, wedding-9), punct(girl-3, .-10)] 	[det(woman-2, A-1), root(ROOT-0, woman-2), acl(woman-2, wearing-3), det(dress-5, a-4), dobj(wearing-3, dress-5), cc(woman-2, and-6), det(man-8, a-7), conj:and(woman-2, man-8), acl(man-8, wearing-9), det(shirt-11, a-10), dobj(wearing-9, shirt-11), advcl(wearing-9, sitting-12), case(art-16, next-13), mwe(next-13, to-14), det(art-16, the-15), nmod:next_to(sitting-12, art-16), punct(woman-2, .-17)] 	88
[det(man-2, A-1), nsubj(makes-6, man-2), case(bicycle-5, on-3), det(bicycle-5, a-4), nmod:on(man-2, bicycle-5), root(ROOT-0, makes-6), det(backflip-8, a-7), dobj(makes-6, backflip-8), punct(makes-6, .-9)] 	[nsubj(doing-3, Someone-1), aux(doing-3, is-2), root(ROOT-0, doing-3), det(backflip-5, a-4), dobj(doing-3, backflip-5), case(bicycle-8, on-6), det(bicycle-8, a-7), nmod:on(doing-3, bicycle-8), punct(doing-3, .-9)] 	89
[det(man-2, A-1), root(ROOT-0, man-2), acl(man-2, running-3), case(runner-6, on-4), det(runner-6, a-5), nmod:on(running-3, runner-6)] 	[det(man-2, A-1), nsubj(walking-4, man-2), aux(walking-4, is-3), root(ROOT-0, walking-4), case(runner-7, on-5), det(runner-7, a-6), nmod:on(walking-4, runner-7)] 	90
[nsubj(bridge-5, He-1), cop(bridge-5, was-2), case(bridge-5, near-3), det(bridge-5, a-4), root(ROOT-0, bridge-5), punct(bridge-5, .-6)] 	[det(man-3, The-1), amod(man-3, old-2), nsubj(fire-7, man-3), cop(fire-7, was-4), case(fire-7, near-5), det(fire-7, the-6), root(ROOT-0, fire-7), punct(fire-7, .-8)] 	91
[amod(people-2, Elderly-1), nsubj(helping-3, people-2), root(ROOT-0, helping-3), det(other-5, each-4), dobj(helping-3, other-5)] 	[det(man-2, The-1), nsubj(reviewing-4, man-2), aux(reviewing-4, is-3), root(ROOT-0, reviewing-4), nmod:poss(actions-6, his-5), dobj(reviewing-4, actions-6), mark(making-8, before-7), advcl(reviewing-4, making-8), det(comment-10, a-9), dobj(making-8, comment-10), case(people-14, to-11), det(people-14, the-12), amod(people-14, other-13), nmod:to(comment-10, people-14), punct(reviewing-4, .-15)] 	92
[det(man-2, A-1), nsubj(running-4, man-2), aux(running-4, is-3), root(ROOT-0, running-4), case(hurry-7, in-5), det(hurry-7, a-6), nmod:in(running-4, hurry-7), case(street-10, in-8), det(street-10, the-9), nmod:in(hurry-7, street-10), punct(running-4, .-11)] 	[det(man-2, The-1), nsubj(driving-4, man-2), aux(driving-4, is-3), root(ROOT-0, driving-4), det(bicycle-6, a-5), dobj(driving-4, bicycle-6), case(street-9, in-7), det(street-9, the-8), nmod:in(driving-4, street-9), punct(driving-4, .-10)] 	93
[det(men-2, The-1), nsubj(strike-5, men-2), cop(strike-5, are-3), case(strike-5, on-4), root(ROOT-0, strike-5), punct(strike-5, .-6)] 	[det(men-3, The-1), nummod(men-3, two-2), nsubj(putting-5, men-3), aux(putting-5, are-4), root(ROOT-0, putting-5), compound:prt(putting-5, out-6), det(fire-8, the-7), dobj(putting-5, fire-8), punct(putting-5, .-9)] 	94
[nummod(men-2, Two-1), nsubj(observe-3, men-2), root(ROOT-0, observe-3), det(reaction-6, a-4), amod(reaction-6, chemical-5), dobj(observe-3, reaction-6), punct(observe-3, .-7)] 	[det(group-2, A-1), nsubj(outside-6, group-2), case(men-4, of-3), nmod:of(group-2, men-4), cop(outside-6, are-5), root(ROOT-0, outside-6), case(guns-8, with-7), nmod:with(outside-6, guns-8), punct(outside-6, .-9)] 	95
[det(crowd-2, A-1), nsubj(looking-4, crowd-2), aux(looking-4, is-3), root(ROOT-0, looking-4), case(man-7, at-5), det(man-7, a-6), nmod:at(looking-4, man-7), case(stage-9, on-8), nmod:on(man-7, stage-9), punct(looking-4, .-10)] 	[det(man-2, A-1), nsubj(sings-3, man-2), root(ROOT-0, sings-3), advmod(sings-3, alone-4), case(stage-6, on-5), nmod:on(sings-3, stage-6), case(crowd-9, for-7), det(crowd-9, a-8), nmod:for(stage-6, crowd-9), punct(sings-3, .-10)] 	96
[det(group-2, A-1), nsubj(acting-4, group-2), aux(acting-4, is-3), root(ROOT-0, acting-4), case(children-7, for-5), det(children-7, some-6), nmod:for(acting-4, children-7)] 	[det(group-2, A-1), nsubj(look-5, group-2), case(children-4, of-3), nmod:of(group-2, children-4), root(ROOT-0, look-5), case(group-8, at-6), det(group-8, a-7), nmod:at(look-5, group-8), case(adults-10, of-9), nmod:of(group-8, adults-10), punct(look-5, .-11)] 	97
[root(ROOT-0, Lady-1), case(top-5, in-2), det(top-5, a-3), amod(top-5, dark-4), nmod:in(Lady-1, top-5), punct(Lady-1, ,-6), acl(Lady-1, missing-7), case(impressions-9, with-8), nmod:with(missing-7, impressions-9), punct(impressions-9, ,-10), amod(stockings-12, red-11), conj:and(impressions-9, stockings-12), cc(impressions-9, and-13), amod(shoes-15, walking-14), conj:and(impressions-9, shoes-15)] 	[nsubj(walking-2, Woman-1), root(ROOT-0, walking-2), case(street-5, on-3), det(street-5, the-4), nmod:on(walking-2, street-5), case(heels-8, in-6), amod(heels-8, high-7), nmod:in(walking-2, heels-8), punct(leggings-11, ,-9), amod(leggings-11, black-10), dobj(walking-2, leggings-11), punct(leggings-11, ,-12), amod(coat-14, black-13), conj:and(leggings-11, coat-14), cc(leggings-11, and-15), amod(wallet-17, red-16), conj:and(leggings-11, wallet-17)] 	98
[det(woman-2, A-1), nsubj(using-4, woman-2), aux(using-4, is-3), root(ROOT-0, using-4), det(net-7, a-5), compound(net-7, fishing-6), dobj(using-4, net-7), case(river-10, in-8), det(river-10, the-9), nmod:in(using-4, river-10), punct(using-4, .-11)] 	[det(fish-2, A-1), nsubj(jumping-4, fish-2), aux(jumping-4, is-3), root(ROOT-0, jumping-4), compound:prt(jumping-4, out-5), case(water-8, of-6), det(water-8, the-7), nmod:of(jumping-4, water-8), mark(catch-10, to-9), xcomp(jumping-4, catch-10), det(fly-12, a-11), dobj(catch-10, fly-12), punct(jumping-4, .-13)] 	99
[expl(woman-5, There-1), aux(woman-5, may-2), cop(woman-5, be-3), det(woman-5, a-4), root(ROOT-0, woman-5), case(image-8, under-6), det(image-8, an-7), nmod:under(woman-5, image-8), case(Jesus-10, of-9), nmod:of(image-8, Jesus-10), punct(woman-5, .-11)] 	[expl(is-2, There-1), root(ROOT-0, is-2), det(person-4, a-3), nsubj(is-2, person-4), case(picture-7, in-5), det(picture-7, the-6), nmod:in(person-4, picture-7), punct(is-2, .-8)] 	100
[det(lady-3, The-1), amod(lady-3, older-2), nsubj(wearing-5, lady-3), aux(wearing-5, is-4), root(ROOT-0, wearing-5), dobj(wearing-5, sunglasses-6), mark(protect-8, to-7), advcl(wearing-5, protect-8), nmod:poss(eyes-10, her-9), dobj(protect-8, eyes-10), case(sun-14, from-11), det(sun-14, the-12), amod(sun-14, bright-13), nmod:from(protect-8, sun-14), punct(wearing-5, .-15)] 	[det(man-2, This-1), nsubj(wears-3, man-2), root(ROOT-0, wears-3), dobj(wears-3, sunglasses-4), mark(keep-6, to-5), advcl(wears-3, keep-6), det(sun-8, the-7), dobj(keep-6, sun-8), case(eyes-12, out-9), mwe(out-9, of-10), nmod:poss(eyes-12, his-11), nmod:out_of(keep-6, eyes-12)] 	101
[det(woman-2, A-1), root(ROOT-0, woman-2), acl(woman-2, about-3), mark(eat-5, to-4), xcomp(about-3, eat-5), dobj(eat-5, fish-6), punct(woman-2, .-7)] 	[det(woman-2, A-1), root(ROOT-0, woman-2), mark(eat-5, about-3), mark(eat-5, to-4), acl(woman-2, eat-5), dobj(eat-5, trout-6), punct(woman-2, .-7)] 	102
[det(team-2, A-1), nsubj(plans-6, team-2), case(athletes-5, of-3), amod(athletes-5, young-4), nmod:of(team-2, athletes-5), root(ROOT-0, plans-6), nmod:poss(victory-9, their-7), amod(victory-9, great-8), dobj(plans-6, victory-9)] 	[nmod:poss(team-2, Your-1), nsubj(winning-4, team-2), aux(winning-4, is-3), root(ROOT-0, winning-4), punct(winning-4, .-5)] 	103
[nummod(cable-2, One-1), nsubj(larger-4, cable-2), cop(larger-4, is-3), root(ROOT-0, larger-4), case(other-7, than-5), det(other-7, the-6), nmod:than(larger-4, other-7), punct(larger-4, .-8)] 	[nummod(cable-2, One-1), nsubj(larger-4, cable-2), cop(larger-4, is-3), root(ROOT-0, larger-4), case(other-7, than-5), det(other-7, the-6), nmod:than(larger-4, other-7), punct(larger-4, .-8)] 	104
[det(child-2, A-1), nsubj(has-3, child-2), root(ROOT-0, has-3), det(smartphone-5, a-4), dobj(has-3, smartphone-5), cc(smartphone-5, and-6), conj:and(smartphone-5, nothing-7), advmod(smartphone-5, else-8), punct(has-3, .-9)] 	[det(man-2, A-1), nsubj(have-4, man-2), aux(have-4, can-3), root(ROOT-0, have-4), det(smartphone-6, a-5), dobj(have-4, smartphone-6), punct(have-4, .-7)] 	105
[nsubj(outdoors-3, People-1), cop(outdoors-3, are-2), root(ROOT-0, outdoors-3), case(mountain-6, on-4), det(mountain-6, a-5), nmod:on(outdoors-3, mountain-6), punct(outdoors-3, .-7)] 	[nsubj(standing-3, People-1), aux(standing-3, are-2), root(ROOT-0, standing-3), case(ATVs-7, around-4), case(ATVs-7, for-5), nummod(ATVs-7, two-6), nmod:for(standing-3, ATVs-7), case(beach-10, on-8), det(beach-10, a-9), nmod:on(ATVs-7, beach-10), punct(standing-3, .-11)] 	106
[nummod(women-2, Four-1), nsubj(pool-6, women-2), cop(pool-6, are-3), case(pool-6, in-4), det(pool-6, the-5), root(ROOT-0, pool-6), punct(pool-6, .-7)] 	[det(women-3, The-1), nummod(women-3, four-2), nsubj(pool-7, women-3), cop(pool-7, are-4), case(pool-7, in-5), det(pool-7, a-6), root(ROOT-0, pool-7)] 	107
[det(girl-2, A-1), nsubj(trying-4, girl-2), aux(trying-4, is-3), root(ROOT-0, trying-4), mark(hide-6, to-5), xcomp(trying-4, hide-6), case(parents-9, from-7), nmod:poss(parents-9, her-8), nmod:from(hide-6, parents-9)] 	[det(girl-3, A-1), amod(girl-3, young-2), root(ROOT-0, girl-3), acl(girl-3, trying-4), mark(hide-6, to-5), xcomp(trying-4, hide-6), case(mom-9, from-7), nmod:poss(mom-9, her-8), nmod:from(hide-6, mom-9), punct(girl-3, .-10)] 	108
