[A/DT, person/NN, is/VBZ, on/IN, a/DT, baseball/NN, team/NN, ./.] 	[A/DT, person/NN, is/VBZ, playing/VBG, basketball/NN, on/IN, a/DT, team/NN, ./.] 	1
[Many/JJ, guards/NNS, are/VBP, standing/VBG, in/IN, front/NN, of/IN, the/DT, starting/VBG, line/NN, of/IN, a/DT, race/NN, ./.] 	[Two/CD, men/NNS, in/IN, business/NN, dress/NN, are/VBP, standing/VBG, by/IN, the/DT, side/NN, of/IN, a/DT, road/NN, ./.] 	114
[There/EX, is/VBZ, a/DT, cook/NN, preparing/VBG, food/NN, ./.] 	[A/DT, cook/NN, is/VBZ, making/VBG, food/NN, ./.] 	115
[Two/CD, men/NNS, are/VBP, helping/VBG, a/DT, boy/NN, ./.] 	[Two/CD, men/NNS, are/VBP, with/IN, a/DT, young/JJ, child/NN, ./.] 	116
[A/DT, man/NN, at/IN, a/DT, farmers/NNS, market/NN, ./.] 	[A/DT, man/NN, is/VBZ, at/IN, a/DT, farmers/NNS, market/NN, ./.] 	117
[four/CD, people/NNS, walk/VBP, toward/IN, a/DT, tower/NN] 	[Two/CD, men/NNS, walk/VBP, toward/IN, a/DT, dome-shaped/JJ, building/NN, ./.] 	118
[A/DT, little/JJ, girl/NN, and/CC, boy/NN, are/VBP, reading/VBG, books/NNS, ./.] 	[An/DT, older/JJR, child/NN, is/VBZ, playing/VBG, with/IN, a/DT, doll/NN, while/IN, gazing/VBG, out/RP, the/DT, window/NN, ./.] 	119
[The/DT, child/NN, would/MD, like/VB, to/TO, swim/VB, ./.] 	[The/DT, children/NNS, want/VBP, to/TO, swim/VB, ./.] 	120
[Two/CD, skiing/NN, people/NNS, are/VBP, doing/VBG, cross/JJ, country/NN, skiing/NN, ./.] 	[People/NNS, skiing/NN, cross/JJ, country/NN, ./.] 	121
[A/DT, dog/NN, taking/VBG, a/DT, poop/NN, in/IN, the/DT, street/NN, ./.] 	[A/DT, man/NN, making/VBG, balloon/NN, animals/NNS, for/IN, two/CD, children/NNS, on/IN, a/DT, street/NN, corner/NN, ./.] 	122
[Men/NNS, are/VBP, fighting/VBG, after/IN, a/DT, basketball/NN, game/NN, ./.] 	[The/DT, men/NNS, are/VBP, playing/VBG, a/DT, game/NN, of/IN, basketball/NN, ./.] 	123
[A/DT, kid/NN, is/VBZ, talking/VBG, in/IN, class/NN, ./.] 	[A/DT, girl/NN, is/VBZ, going/VBG, to/TO, class/NN, ./.] 	124
[The/DT, women/NNS, are/VBP, trying/VBG, to/TO, sell/VB, something/NN, to/TO, the/DT, individual/NN, ./.] 	[The/DT, men/NNS, are/VBP, trying/VBG, to/TO, make/VB, some/DT, money/NN, ./.] 	125
[People/NNS, are/VBP, waiting/VBG, for/IN, the/DT, fireworks/NNS, to/TO, start/VB, ./.] 	[Three/CD, people/NNS, are/VBP, waiting/VBG, for/IN, the/DT, rain/NN, to/TO, stop/VB, ./.] 	126
[A/DT, dog/NN, prepares/VBZ, to/TO, herd/NN, three/CD, sheep/NN, with/IN, horns/NNS, ./.] 	[A/DT, dog/NN, and/CC, sheep/NN, run/VBN, together/RB, ./.] 	127
[People/NNS, are/VBP, sitting/VBG, around/IN, dimly/RB, lit/VBN, tables/NNS, while/IN, smiling/VBG, and/CC, laughing/VBG, ./.] 	[People/NNS, are/VBP, sitting/VBG, on/IN, benches/NNS, ./.] 	128
[A/DT, dog/NN, is/VBZ, chasing/VBG, cows/NNS, ./.] 	[A/DT, white/JJ, dog/NN, is/VBZ, chasing/VBG, cows/NNS, ./.] 	129
[One/CD, football/NN, player/NN, tries/VBZ, to/TO, tackle/VB, a/DT, player/NN, on/IN, the/DT, opposing/VBG, team/NN, ./.] 	[A/DT, football/NN, player/NN, attempts/VBZ, a/DT, tackle/VB, ./.] 	130
[Three/CD, men/NNS, are/VBP, drying/VBG, to/TO, pull/VB, a/DT, Subaru/NNP, out/IN, of/IN, a/DT, ditch/NN, along/IN, a/DT, mountain/NN, road/NN, ./.] 	[Two/CD, men/NNS, are/VBP, waiting/VBG, for/IN, a/DT, ride/NN, on/IN, the/DT, side/NN, of/IN, a/DT, dirt/NN, road/NN, ./.] 	131
[A/DT, woman/NN, does/VBZ, n't/RB, have/VB, her/PRP$, arms/NNS, up/RB, because/IN, she/PRP, 's/VBZ, paralyzed/VBN, from/IN, the/DT, neck/NN, down/RP] 	[A/DT, woman/NN, is/VBZ, sitting/VBG, on/IN, the/DT, steps/NNS, because/IN, she/PRP, tripped/VBD, and/CC, hurt/VBD, her/PRP$, ankle/NN, ./.] 	132
[People/NNS, gathered/VBN, in/IN, a/DT, room/NN, ./.] 	[People/NNS, gathered/VBN, together/RB, in/IN, a/DT, room/NN, ./.] 	133
[The/DT, woman/NN, in/IN, overalls/NNS, paints/NNS, a/DT, picture/NN, for/IN, her/PRP$, wall/NN, ./.] 	[A/DT, woman/NN, is/VBZ, painting/VBG, her/PRP$, wall/NN, white/JJ, ./.] 	134
[Adding/VBG, aspirin/NN, to/TO, the/DT, water/NN, could/MD, kill/VB, the/DT, plant/NN, ./.] 	[Men/NNS, are/VBP, trying/VBG, to/TO, remove/VB, oil/NN, from/IN, a/DT, body/NN, of/IN, water/NN, ./.] 	135
[Five/CD, kids/NNS, are/VBP, standing/VBG, in/IN, front/NN, of/IN, a/DT, tent/NN, ./.] 	[People/NNS, are/VBP, out/IN, sitting/VBG, in/IN, front/NN, of/IN, a/DT, garden/NN, ./.] 	136
[Female/JJ, in/IN, a/DT, maroon/NN, shirt/NN, engaged/VBD, in/IN, conversation/NN, with/IN, another/DT, female/NN, in/IN, a/DT, tan/NN, blazer/NN, ./.] 	[A/DT, girl/NN, in/IN, a/DT, blue/JJ, dress/NN, and/CC, another/DT, girl/NN, in/IN, a/DT, purple/JJ, dress/NN, ,/,, both/CC, smiling/VBG, ./.] 	137
[Baseball/NNP, players/NNS, playing/VBG, a/DT, game/NN, at/IN, the/DT, park/NN, ./.] 	[A/DT, basketball/NN, player/NN, ,/,, playing/VBG, in/IN, the/DT, home/NN, coming/VBG, game/NN, ./.] 	138
[They/PRP, are/VBP, preparing/VBG, for/IN, a/DT, performance/NN, at/IN, school/NN, ./.] 	[Two/CD, medical/JJ, professionals/NNS, in/IN, green/JJ, look/NN, on/IN, at/IN, something/NN, ./.] 	139
[The/DT, woman/NN, is/VBZ, wearing/VBG, yellow/JJ, ./.] 	[The/DT, woman/NN, is/VBZ, wearing/VBG, red/JJ, ./.] 	140
[Some/DT, smiling/VBG, children/NNS, are/VBP, standing/VBG, in/IN, front/NN, of/IN, an/DT, ocean/NN, sunset/NN, ./.] 	[People/NNS, walking/VBG, in/IN, the/DT, dark/NN, ./.] 	141
[A/DT, man/NN, is/VBZ, doing/VBG, a/DT, stunt/NN, on/IN, his/PRP$, bicycle/NN, ./.] 	[A/DT, man/NN, is/VBZ, doing/VBG, a/DT, wheelie/NN, on/IN, his/PRP$, motorcycle/NN, ./.] 	142
[Ten/CD, people/NNS, riding/VBG, ATVs/NNS, ./.] 	[4/CD, people/NNS, are/VBP, riding/VBG, bikes/NNS] 	143
[Two/CD, fishermen/NNS, try/VBP, to/TO, untangle/VB, their/PRP$, large/JJ, fishing/NN, net/NN, on/IN, the/DT, side/NN, of/IN, the/DT, road/NN, on/IN, a/DT, cloudy/JJ, day/NN, ./.] 	[Several/JJ, men/NNS, pull/VBP, a/DT, fishing/NN, net/NN, up/RB, on/IN, to/TO, the/DT, beach/NN, ./.] 	144
[A/DT, yellow/JJ, vested/JJ, person/NN, is/VBZ, doing/VBG, road/NN, work/NN, ./.] 	[A/DT, person/NN, is/VBZ, doing/VBG, very/RB, well/RB, on/IN, their/PRP$, skateboard/NN, ./.] 	145
[The/DT, woman/NN, had/VBD, brown/JJ, hair/NN, ./.] 	[The/DT, woman/NN, has/VBZ, gray/JJ, hair/NN, ./.] 	146
[Black/JJ, and/CC, white/JJ, image/NN, of/IN, a/DT, wave/NN, crashing/VBG, in/IN, the/DT, ocean/NN, ./.] 	[a/DT, small/JJ, black/JJ, dog/NN, in/IN, the/DT, ocean/NN, with/IN, some/DT, rocks/NNS, in/IN, the/DT, background/NN] 	147
[A/DT, lady/NN, and/CC, her/PRP$, daughter/NN, look/NN, through/IN, a/DT, microscope/NN, ./.] 	[A/DT, girl/NN, and/CC, a/DT, lady/NN, both/CC, looking/VBG, through/IN, a/DT, microscope/NN, ./.] 	148
[Two/CD, workers/NNS, are/VBP, sitting/VBG, next/JJ, to/TO, pipes/NNS, eating/VBG, lunch/NN] 	[The/DT, construction/NN, workers/NNS, are/VBP, sitting/VBG, down/RP, to/TO, eat/VB, lunch/NN, ./.] 	149
[A/DT, boy/NN, does/VBZ, a/DT, skateboard/NN, trick/NN, on/IN, the/DT, stairs/NNS, downtown/NN, ./.] 	[a/DT, boy/NN, is/VBZ, running/VBG, on/IN, the/DT, sidewalk/NN] 	150
[A/DT, group/NN, of/IN, people/NNS, living/VBG, in/IN, the/DT, desert/NN] 	[A/DT, group/NN, of/IN, people/NNS, in/IN, the/DT, middle/NN, of/IN, the/DT, desert/NN, ./.] 	151
[Two/CD, kids/NNS, are/VBP, swimming/VBG, ./.] 	[Six/CD, kids/NNS, are/VBP, going/VBG, swimming/NN, ./.] 	152
[Three/CD, humans/NNS, are/VBP, walking/VBG, a/DT, dog/NN, ./.] 	[Three/CD, people/NNS, are/VBP, walking/VBG, a/DT, dog/NN, ./.] 	153
[There/EX, are/VBP, people/NNS, out/IN, on/IN, the/DT, street/NN, ./.] 	[People/NNS, are/VBP, out/RB, on/IN, the/DT, street/NN, ./.] 	154
[people/NNS, getting/VBG, their/PRP$, dirty/JJ, clothes/NNS, cleaned/VBD] 	[People/NNS, are/VBP, getting/VBG, their/PRP$, clothes/NNS, cleaned/VBN, ./.] 	155
[Two/CD, women/NNS, are/VBP, lost/VBN, and/CC, calling/VBG, for/IN, help/NN, ./.] 	[Two/CD, Asian/JJ, men/NNS, are/VBP, gathering/VBG, materials/NNS, for/IN, their/PRP$, business/NN, and/CC, their/PRP$, child/NN, had/VBD, to/TO, come/VB, with/IN, them/PRP, ./.] 	156
[A/DT, man/NN, is/VBZ, throwing/VBG, a/DT, penny/NN, into/IN, a/DT, fountain/NN, ./.] 	[A/DT, little/JJ, boy/NN, is/VBZ, throwing/VBG, a/DT, man/NN, in/IN, water/NN, ./.] 	157
[The/DT, children/NNS, are/VBP, holding/VBG, musical/JJ, instruments/NNS, ./.] 	[A/DT, group/NN, of/IN, children/NNS, are/VBP, singing/NN, and/CC, playing/NN, instruments/NNS] 	158
[Two/CD, girls/NNS, are/VBP, playing/VBG, Doctor/NN, inside/IN, their/PRP$, house/NN, ./.] 	[The/DT, two/CD, girls/NNS, are/VBP, walking/VBG, with/IN, their/PRP$, father/NN, ./.] 	159
[A/DT, crowd/NN, of/IN, men/NNS, wearing/VBG, paper/NN, numbers/NNS, on/IN, their/PRP$, shirts/NNS, run/VBP, in/IN, a/DT, race/NN, ./.] 	[Several/JJ, men/NNS, running/VBG, down/RP, a/DT, grass/NN, field/NN, wearing/VBG, numbers/NNS, on/IN, the/DT, front/NN, of/IN, their/PRP$, shirts/NNS, ./.] 	160
[A/DT, group/NN, of/IN, people/NNS, are/VBP, wearing/VBG, police/NNS, uniforms/NNS, conducting/VBG, an/DT, arrest/NN, ./.] 	[A/DT, group/NN, of/IN, police/NN, officers/NNS, are/VBP, wearing/VBG, protection/NN, ./.] 	161
[The/DT, fruits/NNS, should/MD, be/VB, eaten/VBN, with/IN, lemon/JJ, juice/NN, in/IN, order/NN, to/TO, prevent/VB, oxidation/NN, in/IN, your/PRP$, stomach/NN, ./.] 	[three/CD, dogs/NNS, growling/VBG, On/IN, one/CD, another/DT] 	162
[A/DT, doctor/NN, prescribes/VBZ, medicine/NN, to/TO, a/DT, patient/NN, ./.] 	[A/DT, doctor/NN, prescribes/VBZ, a/DT, medicine/NN, ./.] 	163
[A/DT, woman/NN, is/VBZ, in/IN, the/DT, bathroom/NN, ./.] 	[The/DT, woman/NN, is/VBZ, in/IN, a/DT, bathroom/NN, ./.] 	164
[Spectators/NNS, taking/VBG, pictures/NNS, of/IN, a/DT, rally/NN, car/NN, ./.] 	[A/DT, crowd/NN, of/IN, people/NNS, watching/VBG, cars/NNS, race/NN, down/RB, the/DT, track/NN, ./.] 	165
[The/DT, man/NN, and/CC, woman/NN, are/VBP, resting/VBG, on/IN, a/DT, couch/NN, ./.] 	[A/DT, man/NN, and/CC, woman/NN, are/VBP, asleep/RB, on/IN, the/DT, couch/NN, ./.] 	166
[the/DT, man/NN, is/VBZ, planning/VBG, to/TO, shoot/VB, a/DT, wedding/NN] 	[the/DT, woman/NN, is/VBZ, going/VBG, to/TO, a/DT, wedding/NN, ./.] 	167
[The/DT, boy/NN, in/IN, the/DT, green/JJ, jersey/NN, plays/VBZ, goalie/NN, on/IN, the/DT, soccer/NN, team/NN, ./.] 	[The/DT, team/NN, in/IN, blue/JJ, is/VBZ, playing/VBG, a/DT, game/NN, against/IN, the/DT, team/NN, in/IN, white/JJ] 	168
[The/DT, child/NN, 's/POS, bike/NN, got/VBD, wet/JJ, ./.] 	[She/PRP, is/VBZ, putting/VBG, away/RP, the/DT, bike/NN, ./.] 	169
[A/DT, soldier/NN, walks/VBZ, a/DT, dog/NN, ./.] 	[A/DT, man/NN, walks/VBZ, a/DT, dog/NN, ./.] 	170
[A/DT, shirtless/JJ, woman/NN, is/VBZ, operating/VBG, a/DT, lawn/NN, mower/NN, ./.] 	[A/DT, girl/NN, is/VBZ, mowing/VBG, the/DT, grass/NN, with/IN, a/DT, lawn/NN, mower/NN, ./.] 	171
[People/NNS, are/VBP, near/JJ, water/NN] 	[People/NNS, are/VBP, near/JJ, water/NN, ./.] 	172
[The/DT, two/CD, officers/NNS, are/VBP, driving/VBG] 	[Two/CD, officers/NNS, are/VBP, on/IN, horses/NNS, ./.] 	173
[Friends/NNPS, walk/VBP, into/IN, a/DT, building/NN] 	[a/DT, man/NN, walks/VBZ, along/IN, walkway/NN, to/TO, the/DT, store/NN] 	174
[The/DT, lady/NN, looks/VBZ, sad/JJ, because/IN, no/DT, one/NN, is/VBZ, buying/VBG, her/PRP$, wares/NNS, ./.] 	[The/DT, lady/NN, is/VBZ, selling/VBG, things/NNS, ./.] 	175
[The/DT, rollerblades/NNS, are/VBP, moving/VBG, ./.] 	[Two/CD, vehicles/NNS, are/VBP, going/VBG, towards/IN, the/DT, camera/NN, ./.] 	176
[There/EX, is/VBZ, a/DT, older/JJR, man/NN, near/IN, a/DT, window/NN, ./.] 	[A/DT, boy/NN, is/VBZ, near/IN, some/DT, stairs/NNS, ./.] 	177
[A/DT, guy/NN, and/CC, a/DT, girl/NN, are/VBP, rock/JJ, climbing/VBG, with/IN, backpacks/NNS, on/IN, ./.] 	[Two/CD, boys/NNS, are/VBP, riding/VBG, on/IN, a/DT, toy/NN, with/IN, a/DT, blonde/JJ, girl/NN, running/VBG, long/JJ, side/NN, of/IN, them/PRP, ./.] 	178
[In/IN, Abu/NNP, Dhabi/NNP, the/DT, Golden/NNP, Market/NNP, is/VBZ, one/CD, of/IN, the/DT, premier/JJ, public/JJ, outdoor/JJ, shopping/NN, areas/NNS, ./.] 	[A/DT, busy/JJ, city/NN, square/NN, in/IN, an/DT, asian/JJ, country/NN, ./.] 	179
[A/DT, pregnant/JJ, woman/NN, is/VBZ, in/IN, labor/NN] 	[a/DT, woman/NN, has/VBZ, a/DT, child/NN, ./.] 	180
[A/DT, flock/NN, of/IN, birds/NNS, hovered/VBD, over/IN, the/DT, sandy/JJ, beach/NN, ./.] 	[Birds/NNP, are/VBP, flying/VBG, at/IN, a/DT, beach/NN, ./.] 	181
[people/NNS, walk/VBP, home/NN] 	[People/NNS, waiting/VBG, ./.] 	182
[The/DT, religious/JJ, people/NNS, are/VBP, enjoying/VBG, the/DT, outdoors/NNS, ./.] 	[The/DT, group/NN, of/IN, people/NNS, are/VBP, enjoying/VBG, the/DT, outdoors/NNS, ./.] 	183
[A/DT, girl/NN, in/IN, water/NN, without/IN, goggles/NNS, or/CC, a/DT, swimming/NN, cap/NN, ./.] 	[A/DT, girl/NN, in/IN, water/NN, ,/,, with/IN, goggles/NNS, and/CC, swimming/VBG, cap/NN, ./.] 	184
[A/DT, man/NN, is/VBZ, performing/VBG, a/DT, stunt/NN, outdoors/RB, ./.] 	[A/DT, young/JJ, man/NN, on/IN, a/DT, beach/NN, is/VBZ, performing/VBG, skateboard/NN, stunts/NNS, ./.] 	185
[A/DT, man/NN, is/VBZ, laughing/VBG, with/IN, a/DT, woman/NN] 	[A/DT, man/NN, and/CC, a/DT, woman/NN, laughing/NN, ./.] 	186
[He/PRP, is/VBZ, about/IN, to/TO, run/VB, into/IN, the/DT, boat/NN] 	[The/DT, man/NN, is/VBZ, getting/VBG, his/PRP$, boat/NN, clean/JJ, to/TO, take/VB, it/PRP, out/RP, on/IN, the/DT, water/NN, ./.] 	187
[2/CD, Cows/NNS, are/VBP, in/IN, a/DT, field/NN, ./.] 	[Two/CD, sheep/NN, are/VBP, in/IN, a/DT, field/NN, ./.] 	188
[A/DT, wet/JJ, child/NN, enjoys/VBZ, the/DT, summer/NN, ./.] 	[A/DT, woman/NN, is/VBZ, enjoying/VBG, the/DT, summer/NN, weather/NN, ./.] 	189
[There/EX, was/VBD, girl/NN, stranded/VBN, on/IN, the/DT, roof/NN, ./.] 	[The/DT, couple/NN, was/VBD, on/IN, the/DT, bed/NN, ./.] 	190
[There/EX, are/VBP, four/CD, snowboarders/NNS, going/VBG, off/RP, a/DT, jump/NN, and/CC, that/DT, are/VBP, in/IN, the/DT, air/NN, ./.] 	[Two/CD, racers/NNS, are/VBP, coming/VBG, to/TO, a/DT, turn/NN, ./.] 	191
[The/DT, girl/NN, has/VBZ, a/DT, driver/NN, 's/POS, license/NN] 	[A/DT, man/NN, has/VBZ, a/DT, driver/NN, 's/POS, license/NN, ./.] 	192
[People/NNS, on/IN, motorcycles/NNS, wearing/VBG, racing/VBG, gear/NN, ride/NN, around/IN, a/DT, racetrack/NN] 	[People/NNS, on/IN, motorcycles/NNS, ride/VBP, around/IN, a/DT, racetrack/NN] 	193
[A/DT, man/NN, is/VBZ, standing/VBG, on/IN, the/DT, ground/NN, with/IN, a/DT, paintbrush/NN] 	[A/DT, man/NN, with/IN, a/DT, crutch/NN, lying/VBG, on/IN, the/DT, ground/NN, ./.] 	194
[The/DT, kids/NNS, are/VBP, at/IN, the/DT, theater/NN, watching/VBG, a/DT, movie/NN, ./.] 	[it/PRP, is/VBZ, picture/NN, day/NN, for/IN, the/DT, boys/NNS] 	195
[Two/CD, women/NNS, walk/VBP, down/IN, the/DT, sidewalk/NN, to/TO, the/DT, store/NN, ./.] 	[Two/CD, women/NNS, walk/VBP, down/IN, the/DT, sidewalk/NN, in/IN, the/DT, afternoon/NN, ./.] 	196
[A/DT, man/NN, has/VBZ, his/PRP$, son/NN, on/IN, his/PRP$, back/NN] 	[A/DT, man/NN, spent/VBD, his/PRP$, time/NN, with/IN, his/PRP$, son/NN, ./.] 	197
[A/DT, group/NN, of/IN, dark-skinned/JJ, people/NNS, are/VBP, walking/VBG, past/JJ, barbed/VBN, wire/NN, ./.] 	[Two/CD, women/NNS, are/VBP, gossiping/VBG, by/IN, a/DT, fence/NN, ./.] 	198
[Zombies/NNS, parading/VBG, around/IN, eating/VBG, brains/NNS, ./.] 	[The/DT, zombies/NNS, are/VBP, eating/VBG, flesh/NN, together/RB, ./.] 	199
[A/DT, group/NN, of/IN, people/NNS, are/VBP, sitting/VBG, at/IN, at/IN, a/DT, beach/NN, on/IN, towels/NNS, watching/VBG, the/DT, Blue/NNP, Angels/NNPS, ./.] 	[A/DT, group/NN, of/IN, people/NNS, are/VBP, sitting/VBG, at/IN, a/DT, beach/NN, watching/VBG, the/DT, Blue/NNP, Angels/NNPS, ./.] 	200
[A/DT, basketball/NN, player/NN, makes/VBZ, the/DT, 5th/JJ, rebound/NN, of/IN, the/DT, night/NN, ,/,] 	[A/DT, tennis/NN, player/NN, in/IN, the/DT, middle/NN, of/IN, a/DT, game/NN, ./.] 	201
[Three/CD, people/NNS, are/VBP, meeting/VBG, for/IN, coffee/NN, ./.] 	[Two/CD, people/NNS, make/VBP, coffee/NN, ./.] 	202
[A/DT, young/JJ, girl/NN, with/IN, dirt/NN, on/IN, her/PRP$, face/NN, and/CC, a/DT, red/JJ, child/NN, 's/POS, bike/NN, is/VBZ, in/IN, the/DT, background/NN, ./.] 	[The/DT, old/JJ, woman/NN, in/IN, shorts/NNS, and/CC, a/DT, white/JJ, t-shirt/NN, is/VBZ, standing/VBG, on/IN, a/DT, path/NN, watching/VBG, children/NNS, play/VBP, ./.] 	203
[A/DT, helicopter/NN, is/VBZ, getting/VBG, ready/JJ, to/TO, take/VB, off/RP, ./.] 	[The/DT, plane/NN, is/VBZ, getting/VBG, ready/JJ, to/TO, take/VB, off/RP, ./.] 	204
[A/DT, line/NN, of/IN, scooters/NNS, are/VBP, parking/NN, in/IN, the/DT, middle/NN, of/IN, a/DT, street/NN, ./.] 	[A/DT, line/NN, of/IN, motor/NN, bikes/NNS, are/VBP, parked/VBN, in/IN, the/DT, middle/NN, of/IN, a/DT, street/NN, ./.] 	205
[A/DT, man/NN, holding/VBG, a/DT, cat/NN, ./.] 	[A/DT, man/NN, holding/VBG, a/DT, dog/NN, ./.] 	206
[A/DT, man/NN, doing/VBG, a/DT, jumping/VBG, bike/NN, trick/NN, surrounded/VBN, by/IN, trees/NNS, ./.] 	[A/DT, boy/NN, riding/VBG, a/DT, green/JJ, trick/NN, bike/NN, over/IN, some/DT, steps/NNS, outdoors/RB, ./.] 	207
[Three/CD, guys/NNS, in/IN, speedos/NNS, have/VBP, their/PRP$, feet/NNS, up/RP, on/IN, the/DT, railing/NN, of/IN, a/DT, boat/NN, getting/VBG, a/DT, tan/NN, ./.] 	[A/DT, few/JJ, men/NNS, on/IN, the/DT, deck/NN, are/VBP, dropping/VBG, another/DT, man/NN, into/IN, the/DT, water/NN] 	208
[A/DT, group/NN, wading/VBG, across/IN, a/DT, witch/NN] 	[A/DT, group/NN, wading/VBG, across/IN, a/DT, ditch/NN] 	209
[A/DT, woman/NN, jumps/VBZ, and/CC, poses/VBZ, for/IN, the/DT, camera/NN, ./.] 	[A/DT, woman/NN, poses/VBZ, for/IN, the/DT, camera/NN, ./.] 	210
[A/DT, man/NN, is/VBZ, on/IN, a/DT, rooftop/NN] 	[A/DT, man/NN, is/VBZ, holding/VBG, a/DT, microphone/NN, in/IN, a/DT, room/NN, ./.] 	211
[There/EX, are/VBP, two/CD, men/NNS, near/IN, a/DT, wall/NN, ./.] 	[Three/CD, women/NNS, are/VBP, sitting/VBG, near/IN, a/DT, wall/NN, ./.] 	212
[The/DT, cats/NNS, are/VBP, running/VBG, through/IN, the/DT, grass/NN, ./.] 	[Some/DT, dogs/NNS, running/VBG, through/IN, the/DT, park/NN, ./.] 	213
[The/DT, two/CD, boys/NNS, are/VBP, playing/VBG, kick/NN, ball/NN, back/RB, and/CC, forth/RB, to/TO, each/DT, other/JJ, ./.] 	[The/DT, players/NNS, are/VBP, kicking/VBG, each/DT, other/JJ, while/IN, attempting/VBG, to/TO, kick/VB, the/DT, ball/NN, ./.] 	214
[Two/CD, girls/NNS, are/VBP, running/VBG, ./.] 	[Three/CD, boys/NNS, are/VBP, running/VBG, ./.] 	215
[The/DT, two/CD, men/NNS, are/VBP, wearing/VBG, jeans/NNS, ./.] 	[The/DT, two/CD, men/NNS, are/VBP, wearing/VBG, pants/NNS, ./.] 	216
[A/DT, little/JJ, girl/NN, in/IN, a/DT, white/JJ, blouse/NN, and/CC, blue/JJ, pants/NNS, frolics/VBZ, on/IN, the/DT, grass/NN, ./.] 	[A/DT, woman/NN, in/IN, a/DT, green/JJ, shirt/NN, and/CC, white/JJ, pants/NNS, golfs/VBZ, on/IN, the/DT, green/JJ, ./.] 	217
[The/DT, man/NN, without/IN, a/DT, shirt/NN, is/VBZ, jumping/VBG, ./.] 	[The/DT, man/NN, jumping/VBG, is/VBZ, not/RB, wearing/VBG, a/DT, shirt/NN, ./.] 	218
[The/DT, woman/NN, is/VBZ, holding/VBG, the/DT, hands/NNS, of/IN, the/DT, man/NN, ./.] 	[The/DT, woman/NN, is/VBZ, checking/VBG, the/DT, eyes/NNS, of/IN, the/DT, man/NN, ./.] 	219
[A/DT, man/NN, walks/VBZ, his/PRP$, dog/NN, on/IN, the/DT, beach/NN, ./.] 	[A/DT, man/NN, with/IN, his/PRP$, dog/NN, on/IN, the/DT, beach/NN, ./.] 	220
[The/DT, child/NN, is/VBZ, the/DT, woman/NN, 's/POS, kid/NN, ./.] 	[There/EX, is/VBZ, a/DT, boy/NN, and/CC, a/DT, girl/NN, ./.] 	221
[A/DT, soccer/NN, player/NN, is/VBZ, kicking/VBG, the/DT, ball/NN, ./.] 	[The/DT, soccer/NN, player/NN, gave/VBD, the/DT, ball/NN, a/DT, high/JJ, kick/NN, ./.] 	222
[Two/CD, boys/NNS, in/IN, black/JJ, swimming/NN, trunks/NNS, are/VBP, holding/VBG, another/DT, boy/NN, by/IN, his/PRP$, arms/NNS, and/CC, legs/NNS, on/IN, a/DT, beach/NN, ./.] 	[Man/NN, in/IN, white/JJ, shirt/NN, flipping/VBG, young/JJ, boy/NN, in/IN, the/DT, water/NN, with/IN, four/CD, other/JJ, boys/NNS, surrounding/VBG, them/PRP, ./.] 	223
[The/DT, player/NN, shoots/VBZ, the/DT, winning/VBG, points/NNS, ./.] 	[The/DT, basketball/NN, player/NN, is/VBZ, about/IN, to/TO, score/VB, points/NNS, for/IN, his/PRP$, team/NN, ./.] 	224
[A/DT, man/NN, in/IN, a/DT, white/JJ, shirt/NN, and/CC, hat/NN, playing/VBG, a/DT, guitar/NN, ./.] 	[A/DT, man/NN, in/IN, a/DT, green/JJ, shirt/NN, and/CC, black/JJ, hat/NN, playing/VBG, a/DT, guitar/NN, on/IN, stage/NN, ./.] 	225
[A/DT, black/JJ, hooded/JJ, man/NN, is/VBZ, using/VBG, a/DT, large/JJ, magnifying/JJ, glass/NN, to/TO, look/VB, at/IN, a/DT, booklet/NN, ./.] 	[A/DT, white/JJ, hooded/JJ, woman/NN, is/VBZ, using/VBG, a/DT, magnifying/JJ, glass/NN, to/TO, look/VB, at/IN, a/DT, booklet/NN, ./.] 	226
[the/DT, people/NNS, are/VBP, running/VBG, a/DT, marathon/NN] 	[People/NNS, are/VBP, running/VBG, a/DT, marathon/NN] 	227
[A/DT, motorcross/NN, driver/NN, going/VBG, by/IN, during/IN, a/DT, race/NN] 	[A/DT, race/NN, car/NN, driver/NN, performs/VBZ, in/IN, the/DT, race/NN, of/IN, his/PRP$, life/NN, ./.] 	228
[A/DT, group/NN, of/IN, people/NNS, are/VBP, nervous/JJ, about/IN, crossing/VBG, the/DT, water/NN, ./.] 	[A/DT, group/NN, of/IN, people/NNS, are/VBP, on/IN, the/DT, water/NN, ./.] 	229
[A/DT, group/NN, of/IN, kids/NNS, are/VBP, having/VBG, a/DT, jumping/VBG, contest/NN, ./.] 	[A/DT, group/NN, of/IN, kids/NNS, are/VBP, having/VBG, a/DT, sleepover/NN, ./.] 	230
[The/DT, gate/NN, is/VBZ, blue/JJ, ./.] 	[The/DT, gate/NN, is/VBZ, yellow/JJ, ./.] 	231
[The/DT, person/NN, is/VBZ, wearing/VBG, a/DT, fedora/NN, ./.] 	[A/DT, man/NN, is/VBZ, wearing/VBG, a/DT, uniform/NN, ./.] 	232
